,,,,,,,Daily Price Arrival Report-30-11-2025 to 10-06-2026 for Multiple States,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,0.00,Metric Tonnes,30-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,250.70,Metric Tonnes,30-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,46.70,Metric Tonnes,29-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,0.00,Metric Tonnes,29-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,125.30,Metric Tonnes,29-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,10.80,Metric Tonnes,28-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,0.00,Metric Tonnes,28-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,173.00,Metric Tonnes,28-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,0.00,Metric Tonnes,27-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,201.40,Metric Tonnes,27-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,75.00,Metric Tonnes,27-01-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,0.00,Metric Tonnes,26-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,150.70,Metric Tonnes,26-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,80.00,Metric Tonnes,26-02-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,263.90,Metric Tonnes,25-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,100.00","2,300.00","2,200.00",Rs./Quintal,12.50,Metric Tonnes,25-03-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,23.10,Metric Tonnes,24-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,350.00","2,370.00","2,360.00",Rs./Quintal,233.50,Metric Tonnes,24-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,110.00,Metric Tonnes,24-02-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,58.50,Metric Tonnes,23-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,350.00","2,370.00","2,360.00",Rs./Quintal,160.80,Metric Tonnes,23-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,350.00","2,370.00","2,360.00",Rs./Quintal,105.00,Metric Tonnes,23-03-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,12.00,Metric Tonnes,23-02-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,370.00","2,370.00",Rs./Quintal,130.00,Metric Tonnes,22-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,315.40,Metric Tonnes,22-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,45.00,Metric Tonnes,22-02-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,128.10,Metric Tonnes,21-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,0.00,Metric Tonnes,21-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,152.60,Metric Tonnes,21-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,200.00","2,400.00","2,300.00",Rs./Quintal,115.00,Metric Tonnes,21-02-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,5.80,Metric Tonnes,21-01-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,38.20,Metric Tonnes,20-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,20.40,Metric Tonnes,20-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,246.20,Metric Tonnes,20-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,35.00,Metric Tonnes,19-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,400.00","2,370.00",Rs./Quintal,115.00,Metric Tonnes,19-03-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,61.80,Metric Tonnes,19-02-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,0.00,Metric Tonnes,19-01-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,370.00","2,370.00",Rs./Quintal,91.90,Metric Tonnes,18-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,140.10,Metric Tonnes,18-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,45.00,Metric Tonnes,18-02-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,65.00,Metric Tonnes,17-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,125.00,Metric Tonnes,17-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,103.90,Metric Tonnes,16-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,83.00,Metric Tonnes,16-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,0.00,Metric Tonnes,16-01-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,152.50,Metric Tonnes,15-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,32.50,Metric Tonnes,15-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,155.00,Metric Tonnes,14-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,18.40,Metric Tonnes,14-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,99.00,Metric Tonnes,14-02-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,370.00","2,370.00",Rs./Quintal,75.90,Metric Tonnes,13-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,72.00,Metric Tonnes,13-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,350.00","2,370.00","2,360.00",Rs./Quintal,48.80,Metric Tonnes,13-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,95.30,Metric Tonnes,12-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,25.00,Metric Tonnes,12-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,35.30,Metric Tonnes,12-01-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,102.40,Metric Tonnes,11-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,11.20,Metric Tonnes,11-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,350.00","2,370.00","2,360.00",Rs./Quintal,101.90,Metric Tonnes,11-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,12.90,Metric Tonnes,11-01-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,350.00","2,370.00","2,360.00",Rs./Quintal,143.30,Metric Tonnes,10-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,152.30,Metric Tonnes,10-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,350.00","2,370.00","2,360.00",Rs./Quintal,54.30,Metric Tonnes,10-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,300.00","2,400.00","2,350.00",Rs./Quintal,99.50,Metric Tonnes,10-02-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,14.00,Metric Tonnes,10-01-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,106.60,Metric Tonnes,09-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,90.00,Metric Tonnes,09-06-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,164.50,Metric Tonnes,09-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,65.00,Metric Tonnes,09-02-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,205.80,Metric Tonnes,08-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,225.40,Metric Tonnes,08-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,350.00","2,370.00","2,360.00",Rs./Quintal,48.40,Metric Tonnes,08-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,78.00,Metric Tonnes,08-02-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,27.10,Metric Tonnes,08-01-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,370.00","2,370.00",Rs./Quintal,206.20,Metric Tonnes,07-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,340.00","2,370.00","2,360.00",Rs./Quintal,44.00,Metric Tonnes,07-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,197.80,Metric Tonnes,06-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,264.50,Metric Tonnes,06-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,75.00,Metric Tonnes,06-02-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,12.50,Metric Tonnes,06-01-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,340.00","2,380.00","2,350.00",Rs./Quintal,186.30,Metric Tonnes,05-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,194.80,Metric Tonnes,05-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,57.00,Metric Tonnes,05-01-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,248.20,Metric Tonnes,04-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,153.90,Metric Tonnes,04-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,18.80,Metric Tonnes,04-01-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,231.80,Metric Tonnes,03-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,185.90,Metric Tonnes,03-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,192.00,Metric Tonnes,02-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,25.00,Metric Tonnes,02-06-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,142.00,Metric Tonnes,02-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,34.70,Metric Tonnes,02-01-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,350.00","2,370.00","2,360.00",Rs./Quintal,245.80,Metric Tonnes,01-12-2025
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,146.70,Metric Tonnes,01-05-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,137.00,Metric Tonnes,01-04-2026
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Cereals,Paddy(Common),1001,FAQ,"2,360.00","2,380.00","2,370.00",Rs./Quintal,52.00,Metric Tonnes,01-01-2026
Telangana,Jagityal,Mallapur APMC,Cereals,Paddy(Common),MTU-1010,FAQ,"2,389.00","2,389.00","2,389.00",Rs./Quintal,300.00,Metric Tonnes,20-12-2025
Telangana,Jagityal,Mallapur APMC,Cereals,Paddy(Common),MTU-1010,FAQ,"2,389.00","2,389.00","2,389.00",Rs./Quintal,330.00,Metric Tonnes,19-12-2025
Telangana,Jagityal,Mallapur APMC,Cereals,Paddy(Common),MTU-1010,FAQ,"2,389.00","2,389.00","2,389.00",Rs./Quintal,85.00,Metric Tonnes,09-12-2025
Telangana,Jagityal,Mallapur APMC,Cereals,Paddy(Common),MTU-1010,FAQ,"2,389.00","2,389.00","2,389.00",Rs./Quintal,40.00,Metric Tonnes,08-12-2025
Telangana,Jagityal,Mallapur APMC,Cereals,Paddy(Common),MTU-1010,FAQ,"2,389.00","2,389.00","2,389.00",Rs./Quintal,55.00,Metric Tonnes,06-12-2025
Telangana,Jagityal,Mallapur APMC,Cereals,Paddy(Common),MTU-1010,FAQ,"2,389.00","2,389.00","2,389.00",Rs./Quintal,120.00,Metric Tonnes,05-12-2025
Telangana,Jagityal,Mallapur APMC,Cereals,Paddy(Common),MTU-1010,FAQ,"2,389.00","2,389.00","2,389.00",Rs./Quintal,50.00,Metric Tonnes,04-12-2025
Telangana,Jagityal,Mallapur APMC,Cereals,Paddy(Common),MTU-1010,FAQ,"2,389.00","2,389.00","2,389.00",Rs./Quintal,95.00,Metric Tonnes,03-12-2025
Telangana,Jagityal,Mallapur APMC,Cereals,Paddy(Common),MTU-1010,FAQ,"2,389.00","2,389.00","2,389.00",Rs./Quintal,120.00,Metric Tonnes,02-12-2025
Telangana,Jagityal,Mallapur APMC,Cereals,Paddy(Common),MTU-1010,FAQ,"2,389.00","2,389.00","2,389.00",Rs./Quintal,20.00,Metric Tonnes,01-12-2025
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1121,Grade Range-1,"2,320.00","2,320.00","2,320.00",Rs./Quintal,110.10,Metric Tonnes,30-05-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1001,Grade Range-1,"2,389.00","2,389.00","2,389.00",Rs./Quintal,73.00,Metric Tonnes,30-04-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,380.00","2,380.00","2,380.00",Rs./Quintal,11.00,Metric Tonnes,29-05-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1001,Grade Range-1,"2,080.00","2,080.00","2,080.00",Rs./Quintal,61.00,Metric Tonnes,28-05-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1001,Grade Range-1,"2,089.00","2,089.00","2,089.00",Rs./Quintal,12.60,Metric Tonnes,28-04-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1001,Grade Range-1,"2,089.00","2,089.00","2,089.00",Rs./Quintal,60.00,Metric Tonnes,27-04-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,087.00","2,087.00","2,087.00",Rs./Quintal,11.00,Metric Tonnes,27-04-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1121,Grade Range-2,"2,030.00","2,030.00","2,030.00",Rs./Quintal,120.00,Metric Tonnes,26-05-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1121,Grade Range-1,"2,069.00","2,069.00","2,069.00",Rs./Quintal,71.10,Metric Tonnes,25-05-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1121,Grade Range-2,"2,060.00","2,060.00","2,060.00",Rs./Quintal,112.00,Metric Tonnes,25-05-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1121,Grade Range-1,"2,069.00","2,069.00","2,069.00",Rs./Quintal,183.40,Metric Tonnes,24-05-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1001,Grade Range-1,"2,389.00","2,389.00","2,389.00",Rs./Quintal,72.00,Metric Tonnes,22-04-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1121,Grade Range-1,"2,370.00","2,370.00","2,370.00",Rs./Quintal,46.00,Metric Tonnes,21-05-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1121,Grade Range-2,"2,389.00","2,389.00","2,389.00",Rs./Quintal,5.00,Metric Tonnes,21-04-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1001,Grade Range-1,"2,089.00","2,089.00","2,089.00",Rs./Quintal,27.00,Metric Tonnes,20-05-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1001,Grade Range-1,"2,089.00","2,089.00","2,089.00",Rs./Quintal,10.00,Metric Tonnes,16-05-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1001,Grade Range-2,"2,089.00","2,089.00","2,089.00",Rs./Quintal,35.00,Metric Tonnes,15-05-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1001,Grade Range-1,"2,300.00","2,300.00","2,300.00",Rs./Quintal,65.00,Metric Tonnes,08-06-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1001,Grade Range-1,"2,300.00","2,300.00","2,300.00",Rs./Quintal,57.00,Metric Tonnes,07-06-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1001,Grade Range-1,"2,089.00","2,089.00","2,089.00",Rs./Quintal,12.50,Metric Tonnes,07-05-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1121,Grade Range-1,"2,300.00","2,300.00","2,300.00",Rs./Quintal,12.00,Metric Tonnes,06-06-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1001,Grade Range-2,"3,000.00","3,000.00","3,000.00",Rs./Quintal,22.00,Metric Tonnes,06-05-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1121,Grade Range-1,"2,089.00","2,089.00","2,089.00",Rs./Quintal,11.00,Metric Tonnes,06-05-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1001,Grade Range-1,"2,289.00","2,289.00","2,289.00",Rs./Quintal,15.90,Metric Tonnes,05-05-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1121,Grade Range-1,"2,289.00","2,289.00","2,289.00",Rs./Quintal,24.50,Metric Tonnes,05-05-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1121,Grade Range-2,"2,289.00","2,289.00","2,289.00",Rs./Quintal,31.00,Metric Tonnes,04-05-2026
Telangana,Jayashankar Bhupalapally,Bhupalapally APMC,Cereals,Paddy(Common),1001,Grade Range-1,"2,400.00","2,400.00","2,400.00",Rs./Quintal,25.00,Metric Tonnes,03-06-2026
Telangana,Karimnagar,Choppadandi APMC,Cereals,Paddy(Common),B P T,Non-FAQ,"1,756.00","1,766.00","1,766.00",Rs./Quintal,1.40,Metric Tonnes,30-12-2025
Telangana,Karimnagar,Choppadandi APMC,Cereals,Paddy(Common),I.R. 64,Non-FAQ,"2,031.00","2,136.00","2,091.00",Rs./Quintal,7.70,Metric Tonnes,30-12-2025
Telangana,Karimnagar,Choppadandi APMC,Cereals,Paddy(Common),B P T,Non-FAQ,"1,869.00","2,122.00","2,122.00",Rs./Quintal,2.50,Metric Tonnes,30-05-2026
Telangana,Karimnagar,Choppadandi APMC,Cereals,Paddy(Common),I.R. 64,Non-FAQ,"1,400.00","1,959.00","1,953.00",Rs./Quintal,8.60,Metric Tonnes,30-05-2026
Telangana,Karimnagar,Choppadandi APMC,Cereals,Paddy(Common),MTU-1001,Non-FAQ,"1,324.00","1,324.00","1,324.00",Rs./Quintal,1.20,Metric Tonnes,30-05-2026
Telangana,Karimnagar,Choppadandi APMC,Cereals,Paddy(Common),I.R. 64,Non-FAQ,"1,536.00","2,121.00","2,025.00",Rs./Quintal,59.20,Metric Tonnes,30-04-2026
